number,name,area,centroidX,centroidY
3216,Vestby,-133974899,259183,6611167
5052,Leka,-105599959,345852,7222086
4623,Samnanger,-271052969,-6017,6731400
3434,Lom,-1972740786,155675,6859608
4625,Austevoll,-106925678,-45259,6697500
4631,Alver,-672785132,-29558,6765432
4641,Aurland,-1473677804,79079,6771970
4621,Voss,-2051754876,34950,6758162
5022,Rennebu,-948733876,239170,6974610
3454,Vang,-1508791542,149917,6804541
1151,Utsira,-6103130,-74509,6618014
3203,Asker,-375732454,244830,6627254
3101,Halden,-640709978,299342,6554934
3110,Hvaler,-83725710,269037,6553871
5034,Meråker,-1273668774,341775,7034505
1871,Andøy,-655202120,530966,7660156
5544,Nordreisa - Ráisa - Raisi,-3441224970,756788,7725130
5607,Vadsø,-1266149476,1049640,7858500
1144,Kvitsøy,-2348433,-48814,6586891
4205,Lindesnes,-927317048,56579,6473694
1868,Øksnes,-315783056,502241,7639607
3414,Nord-Odal,-508184833,311922,6705076
5618,Måsøy,-1137443692,857145,7887958
5038,Verdal,-1547331040,352849,7076655
5043,Raarvihke - Røyrvik,-1583654371,435478,7198124
1826,Aarborte - Hattfjelldal,-2682396768,460066,7264898
1856,Røst,-7669823,374374,7490198
3450,Etnedal,-459739888,210104,6771850
1874,Moskenes,-117986683,414990,7536445
4206,Farsund,-262088730,16169,6473378
4224,Åseral,-891001452,60157,6531582
1816,Vevelstad,-535165197,394289,7281722
3228,Nes,-640867581,305622,6672092
5510,Kvæfjord,-512025397,541460,7617356
3431,Dovre,-1366096754,210762,6895321
5501,Tromsø,-2518363642,658437,7730797
1516,Ulstein,-96993295,28572,6944607
5057,Ørland,-450641704,246129,7084207
4012,Bamble,-302140505,186151,6554387
3330,Hol,-1859724823,117426,6735261
3425,Engerdal,-2196129234,340405,6875831
3120,Rakkestad,-434980459,296413,6586917
4223,Vennesla,-385807915,80550,6487939
3420,Elverum,-1229228085,323295,6762626
1124,Sola,-68485066,-39952,6565354
3909,Larvik,-811157758,212375,6574429
4215,Lillesand,-184164970,106875,6474694
3114,Våler,-257097282,269530,6598153
5021,Oppdal,-2276685627,219367,6946337
5032,Selbu,-1235021373,305766,7013749
1134,Suldal,-1744263185,25889,6627767
5632,Båtsfjord,-1442678258,1051488,7889852
1837,Meløy,-862182424,450572,7405823
1875,Hábmer - Hamarøy,-2008891052,549237,7533261
1860,Vestvågøy,-418921060,449213,7567230
1515,Herøy,-118367901,17839,6942669
3433,Skjåk,-2080926608,127138,6887241
1840,Saltdal,-2214556829,523079,7418975
1576,Aure,-638164503,173944,7030810
1114,Bjerkreim,-654182867,-9552,6536007
3201,Bærum,-191128751,248396,6653491
