Kommunenummer,FeatureID
1531,8e2e4d7c-17ba-46d1-ae77-f5cd29ed16ca
1841,c0cb164d-c3e4-4744-a925-49f48f46b3e9
1539,41b31bfc-b149-4d47-afe7-83190cd1f2bf
3439,af40bc87-d843-4118-8fae-d79e8a39ec3b
3236,4ccbb9f7-560e-4d5e-9dce-13be03868c75
5028,778af2cb-3c48-4c6c-9841-6a35f2288fb9
4637,6f4737c7-908c-4c1a-918b-8e1a5b20ef6b
1804,718c439f-412f-4d29-9ae5-63649a33d1eb
5046,4e93a0d0-eeda-47e1-83f4-cbc9103b6371
4201,f25a6be2-d809-4eb4-806b-d2fab4c9ca09
1835,ac286f86-e44c-40d1-b26f-fc83a2501dc1
1866,2a9247bd-d002-420e-93f2-dd7dddc3bb59
4217,dbcd6009-d567-44e1-b075-260f19c503ff
4212,25c2b192-c6b5-4d2c-ba4e-08ab31b4432d
4204,9f3d9ee1-a622-4515-ac6c-b5b10ebde6f3
5522,0c43df46-5632-4137-9d16-5f91d1a3926c
4640,93a8d91b-ec0e-42dd-a5fd-840c209e8c1f
3453,18a50d4c-a5ab-47ae-bf7d-54391c67637d
5546,a928078f-8e99-4f8f-9c17-02ecc41364eb
1867,c743b3fd-d65d-4361-8197-ed3a8e8d7ab1
3207,ba7a7903-d55a-4b0e-864a-fe8a2b8bb244
3405,2f058caf-4db8-454d-84df-ef7d633c5ed6
5054,417e942c-90ff-4297-86bc-9ae97da886b7
1528,88471efb-83cb-4382-b5b5-6c7bde18163f
5060,09f76545-99bb-45f0-99e6-692a92f4081c
5045,17af92d9-02dd-497f-8668-9168a3bd6f79
3316,1765b21a-d1ef-48b5-88c4-b0bc1742f123
1859,a458efe0-b6bf-420c-9c13-5200e0a93adb
4646,1d284acf-fc2c-4a5c-ae34-4e5afe0bec77
3903,d4f05891-b2e5-486d-952e-a4f45c994732
3424,0f821a2d-a307-41ec-9b64-f01c80e39357
1822,58ff3e34-807b-4395-999d-9f9b03ac38b1
3332,e06e8cb6-f18d-46d4-9c5b-30a119ecd02e
1566,8fb10503-5db3-4a0d-899d-a26c776c194e
1127,acb787f3-83a1-4deb-b2c2-4852a0d39a74
5503,fb0a6748-d430-428f-9a0b-c2c3b63f6789
4225,b80d311a-3d78-457f-bb5c-0e023679b13a
1848,9d8a9163-f623-4bc9-8a32-669b75915d5a
1815,221267b1-71d7-4d04-ba93-f667ceda7152
1101,e320f269-23c2-4ae8-922e-b92fe684e96c
5605,468e68cb-c1f3-4bf8-bb58-23ef6d0aab9e
